water_year,flow_m3s
1863,7135.8336
1864,8778.208
1865,14526.518399999999
1866,14526.518399999999
1867,16083.9424
1868,11921.3728
1869,17414.832
1870,13903.5488
1871,9854.2464
1872,10845.3344
1873,13082.3616
1874,7390.6848
1875,18037.8016
1876,20982.7488
1877,14328.300799999999
1878,13507.1136
1879,9401.177599999999
1880,13195.6288
1881,23276.4096
1882,20926.1152
1883,24437.3984
1884,15404.3392
1885,14271.6672
1886,14158.4
1887,8721.5744
1888,16961.7632
1889,11779.7888
1890,8721.5744
1891,10986.9184
1892,26221.3568
1893,19821.76
1894,10760.384
1895,6484.5472
1896,14356.6176
1897,18264.336
1898,13790.2816
1899,12232.8576
1900,10363.9488
1901,9712.6624
1902,13450.48
1903,28883.136
1904,22030.4704
1905,17358.1984
1906,12714.243199999999
1907,14696.4192
1908,24069.28
1909,24380.7648
1910,11779.7888
1911,8013.654399999999
1912,18151.0688
1913,13790.2816
1914,8325.1392
1915,19198.790399999998
1916,19142.1568
1917,21039.3824
1918,9174.6432
1919,14583.152
1920,15687.5072
1921,11241.7696
1922,22257.0048
1923,9656.0288
1924,14016.816
1925,9231.2768
1926,12402.7584
1927,25173.6352
1928,15630.873599999999
1929,20926.1152
1930,8778.208
1931,5663.36
1932,10080.7808
1933,12289.4912
1934,3851.0848
1935,18377.6032
1936,9401.177599999999
1937,10533.8496
1938,12204.5408
1939,14979.5872
1940,5210.2912
1941,12770.8768
1942,18774.0384
1943,23587.8944
1944,23616.211199999998
1945,17273.248
1946,14158.4
1947,22172.0544
1948,17811.2672
1949,11949.6896
1950,13054.0448
1951,22058.7872
1952,19312.0576
1953,10392.2656
1954,8183.5552
1955,8749.8912
1956,6371.28
1957,9571.0784
1958,14271.6672
1959,10250.6816
1960,18887.3056
1961,16650.2784
1962,16650.2784
1963,8466.7232
1964,8664.9408
1965,15545.9232
1966,11609.887999999999
1967,14951.2704
1968,9740.9792
1969,17443.1488
1970,15234.4384
1971,11864.7392
1972,11439.9872
1973,24097.5968
1974,16395.4272
1975,13592.064
1976,12657.6096
1977,9542.7616
1978,16112.2592
1979,19368.6912
1980,9882.5632
1981,14356.6176
1982,14611.4688
1983,20614.6304
1984,16282.16
1985,19425.3248
1986,16565.328
1987,20416.4128
1988,9514.4448
1989,9231.2768
1990,16961.7632
1991,12374.4416
1992,11836.4224
1993,29732.64
1994,19510.2752
1995,22540.1728
1996,17329.8816
1997,15291.072
1998,15347.7056
1999,15517.6064
2000,10901.968
2001,17244.9312
2002,19227.1072
2003,11213.4528
2004,13025.728
2005,13054.0448
2006,8438.4064
2007,13818.598399999999
2008,20274.8288
2009,16168.8928
2010,17584.732799999998
2011,17244.9312
2012,9118.0096
2013,21605.718399999998
2014,15036.2208
2015,19566.9088
2016,23389.6768
2017,22710.0736
2018,12714.243199999999
2019,26362.9408
2020,15489.2896
2021,14979.5872
2022,13988.4992
2023,9372.8608
2024,15545.9232
2025,10618.8
