discharge,qualifiers,dateTime
124000,['A'],1862-10-01
121000,['A'],1862-10-02
121000,['A'],1862-10-03
124000,['A'],1862-10-04
124000,['A'],1862-10-05
125000,['A'],1862-10-06
126000,['A'],1862-10-07
126000,['A'],1862-10-08
128000,['A'],1862-10-09
131000,['A'],1862-10-10
131000,['A'],1862-10-11
131000,['A'],1862-10-12
131000,['A'],1862-10-13
136000,['A'],1862-10-14
140000,['A'],1862-10-15
146000,['A'],1862-10-16
148000,['A'],1862-10-17
145000,['A'],1862-10-18
143000,['A'],1862-10-19
140000,['A'],1862-10-20
138000,['A'],1862-10-21
136000,['A'],1862-10-22
134000,['A'],1862-10-23
134000,['A'],1862-10-24
132000,['A'],1862-10-25
132000,['A'],1862-10-26
131000,['A'],1862-10-27
131000,['A'],1862-10-28
128000,['A'],1862-10-29
125000,['A'],1862-10-30
121000,['A'],1862-10-31
115000,['A'],1862-11-01
112000,['A'],1862-11-02
110000,['A'],1862-11-03
104000,['A'],1862-11-04
102000,['A'],1862-11-05
98500,['A'],1862-11-06
95700,['A'],1862-11-07
93100,['A'],1862-11-08
91800,['A'],1862-11-09
90500,['A'],1862-11-10
87900,['A'],1862-11-11
87900,['A'],1862-11-12
86600,['A'],1862-11-13
85300,['A'],1862-11-14
84000,['A'],1862-11-15
82900,['A'],1862-11-16
82900,['A'],1862-11-17
81800,['A'],1862-11-18
82900,['A'],1862-11-19
87900,['A'],1862-11-20
87900,['A'],1862-11-21
85300,['A'],1862-11-22
87900,['A'],1862-11-23
89200,['A'],1862-11-24
89200,['A'],1862-11-25
86600,['A'],1862-11-26
84000,['A'],1862-11-27
81800,['A'],1862-11-28
79600,['A'],1862-11-29
78500,['A'],1862-11-30
77400,['A'],1862-12-01
76300,['A'],1862-12-02
75200,['A'],1862-12-03
73000,['A'],1862-12-04
70800,['A'],1862-12-05
67500,['A'],1862-12-06
64200,['A'],1862-12-07
61000,['A'],1862-12-08
57000,['A'],1862-12-09
